Id,Predicted
0,.sOinkRIsiGhkasthvAnhmhlzWudnathfekDhbilfrAnhmhlRIsrcssignifikhnlI!.
1,.SAmRakHAzintRistintelhviZhnAndREdIOstEShnz.enrjIsrvisizRIlistEtAndvencrkAphthl.
2,.hbRitiSkhmp?UtrbRAndzlyksinkleRAndEkoRnHAvblemdbhtkWiklIfEdid.piRIhd_.
3,.HIsez_itkhngetkoRnEtisEDht?Uzikizh?UnhvrshlvyGlijbyDhRIlIez.
4,.?etIvinhtEtIsiksHIhzkhnsidrdDhtkhntRIzmOstynAmikphlithkhlfig?r_.
5,.bhtDeRpap?hleRhtIgRUpslOlI.bikhztRAnzmiShnofhnWhslhgiSkamh_pRintiGmesI_hndmhSInzkudhn.dhbhlkWOt.top.dhbhlkWOt.tUIchDrifiShntlI!piRIhd.
6,.DhpIphlzpaRtIkantREtmUvdintikkIphziShnzAneRIhzhvphblikAdministREShn!inklUdiGHelT_ejhkEShn!lEbr_foRhnRIlEShnzhndAgRI.
7,.sIprvyzrztOltidDhtifHIdidhnSEzkamh.IWudbItRAntrtUhphziShnkamh@AthlOrsAlrIkamh@DhdinthndvalvphblikkantAkt.piRIhd.
8,.inhsepRhtinsidhnt.h?UesdistRyrfyrdmhSInDAnhWoRniGSatsAttUsmolAnydethfydbOtsDhthpROcDhkanvY!.
9,.mInWyldkamh@DI?IldDAtmenIm?UnishbhlRevhn?UbandzHhzbinHhvriGrwnEtAndWhnETprsent.piRIhd.
10,.OnlIhf?UstEtsRIkWyrhnimplEmhntkamphnsEShnfrlaktwtWrkrz.
11,.olsikstInAnhlhsinDhsrvEpRidikkIztRoGgrTrdkWoRtrDhnDhslhgiS.sekhnkWoRtr.piRIhd!.
12,.AndDEmEbIEvrlrgethWEWiThlatmoRhvDIzfhblisitImhnUvrzWiTwtgivin@hp.mhcRIOkwd.
13,.WylnatRUliGwtDhtDI?UeskrhnsIkuddiklynOvrtym_mistrlipskIhvsAlhmhnsezHITiGksDhjuRIhstilwt_.
14,._DhgWaRhdIAHAzOnlIfiftIsevhngEtsbhtAtpIkwrz.dhzhnzhvmoRplEnzmEbIanDhgRwnd.
15,.DhfrmseditdhzhnkamentanitstakRekhvhdEShnzoRrdiGzesthmht.
16,.bikhzDhkhnsrvhtivpaRtIkhntROlzDhpaRlhmhnt.DhWinrhvDhtap.paRtIpOstolsObikhmzpRymministr@.
17,.maRkitAkShnWhzhntsenShlIdyjhstiGWenzdEzRAl.
18,.isikstIHyfhndEtisikstIfyvHyfhndEshplyizthnsidrdkhmptrhbhl.piRIhd.
19,.p?trefbeRIshksIdzmistrkhndiRhndWaSiGthnDezhvyspRezhdent!.
20,..frmansHIdAtshfrdnytsWitsfIvrzAtWEtlos..
21,.shmitsHAvDeRphlitikhlbenhfitshvkoRs_natlIstDhtDhpRezhdent.damhnEtsDhn?Uz.
22,.mistrkAtshnbrgsedm?UzikhnphbliSiG!oreRIhzdisnIWudfrDrikspoRWiTDhmapits.piRIhd!.
23,.injAn?UeRIDIeRhvikspIkiGDhmEdIst.eksprt.mistrmaRtsHiROzof_ryvditEkcaRjhvDhdelhgEShn.
24,.AzmizkendhlindmistrlOsIit.swTAfrkhsencRhlghvrnmhnt.izlykhbiglhmbriGtAGk!.
25,.DETiGkstElIthdEizhtIvinbetrbREkhpplEDAtinyntInEtIsiksWindRekshlAnditsklyhntshk?Um?hlEtidDhstakpiRIhd.
26,..IvinDIhvlOl?hnsaDhloRhvDhnU?oRkstakikscEnjWhztemprdbyf?UklIbIdh!.
27,.itinvytidRezdhnzthjoYnhkhmitItieRDeRdRytshgenstDhkhmphnIAnddiskhssOlUShnz.
28,.DhfiShlzhntigOshgatDhsedDhplEniknoRdrpWeststhlAndAftrAntriGHhndrhneRh!.
29,.stil_kamh@DhbukiznatintendidezEkofIHyfhntEbhldisplEpIs.piRIhd.
30,.lAstWIk.kamh_DhpRRUvIhnghvrnmhntoRdrdDhtolsOvrpRhdUstbystEkHyfhnOndmynzmhstbIsOldthDhsentRhlbAGk.piRIhd.
31,.DhfelhpInmilhteRIseditHAdAnkhvrdhplybykabhnhstgriliztikilRItyrd?UesmEjrjenrhlsiGlAb_.
32,.DhfIanDhgREnoRbEsik!kaRd.WhljhmpttUfiftIfyvdalrrz.
33,._shmsoRshsedshmhvDhlestRhdiShnhlHOldrzhvjenrhl.dhpbeljIksSeRzkudbItemptidbyDhpRaspethvkAphthlgEnz.
34,.bhtDhcynIzHyfhnbAktkhmeRhRUnzizDhstRoGghstfoRsinhTRIHyfhnpaRtIRIzisthnskOliShnkamh_hndbAkrzsEHitmhstHAvhROl.piRIhd.
35,.hndrDhbywtplAnkamh@shntrintendztibiginEkAStendrofrfrolhvelhgEnIzSeRzwtstAndiGbyfRydE.piRIhd.
36,.mistrpOlOolsOOnzDhfAShnkhmphnI!.
37,.DhRESIOsignhldfyvhvDhmaRkitsevhnkWoRtrlIdwntrnzinDhnyntInsevhntIth~EtIsevhnpiRIhd.piRIhd.
38,.Andbisydzkamh@nAmWhzhloGtymhgO.piRIhd.
39,.HwevrinkRIsiGDhkasthvRIsrcAnhmhlzSidmOthvEtRisrcrznattUWEsDhmanmiRlIkuRIhsoRRipetitizsthdIz.
40,.penzYlHhzbhnfRediGOvrDhDitElzhvmUviGDhmhnI!evrsen.
41,..lAstHyfhnmenht.mIdIEShnhtwnzfwndrdOvrDIiSUzhvpwrHyfhnSeRiG_AndpIsHyfhnmadhtRG.piRIhd.
42,.bhtlukhlithlfrDr_dASDeRaRWEzrwnHyriGfRIzhz.piRIhd!.
43,.mIntymmoRdhpaRcrzlUvenIfiRzDhtDIaprtUnhtIizRh!.
